CDOR3M,3M3M,6M3M,9M3M,12M3M,15M3M,18M3M,21M3M,24M3M
1.368,1.536995192,1.650721154,1.717046703,1.772898352,1.823715659,1.86510989,1.905247253,1.954230769
1.344,1.532493132,1.646105769,1.710291896,1.761346154,1.811517857,1.86168956,1.911861264,1.962032967
1.32,1.467647665,1.562815934,1.6246875,1.679876374,1.730968407,1.78114011,1.831311813,1.881483516
1.312,1.432410714,1.522836538,1.584083104,1.639271978,1.690418956,1.740590659,1.790762363,1.840934066
1.31,1.435120192,1.522967033,1.583478709,1.638667582,1.689869505,1.740041209,1.790212912,1.840384615
1.31,1.443856456,1.535968407,1.601771978,1.658063187,1.717184066,1.769491758,1.819663462,1.869835165
1.306,1.435065247,1.528166209,1.594793956,1.655,1.715206044,1.767843407,1.81801511,1.868186813
1.302,1.427445055,1.522232143,1.589134615,1.645645604,1.704546703,1.757293956,1.807465659,1.865164835
1.301,1.412537775,1.506298077,1.573475275,1.633681319,1.693887363,1.746744505,1.796916209,1.854505495
1.302,1.419807692,1.518914835,1.58424794,1.643021978,1.696023352,1.746195055,1.80364011,1.863846154
1.301,1.405010302,1.502925824,1.568643544,1.623832418,1.675473901,1.725645604,1.775817308,1.833186813
1.301,1.411219093,1.506627747,1.571830357,1.623653846,1.680590659,1.733997253,1.784168956,1.841208791
1.301,1.411473214,1.507417582,1.571225962,1.623104396,1.673276099,1.723447802,1.780343407,1.840549451
1.301,1.410099588,1.506538462,1.570621566,1.622554945,1.672726648,1.722898352,1.779684066,1.83989011
1.301,1.408725962,1.511991758,1.583200549,1.640206044,1.698612637,1.752348901,1.809024725,1.869230769
1.298,1.402352335,1.502891484,1.572541209,1.629601648,1.681627747,1.731799451,1.788365385,1.848571429
1.298,1.40237294,1.497142857,1.562599588,1.617788462,1.669979396,1.720151099,1.776387363,1.836593407
1.298,1.404732143,1.50915522,1.576995192,1.63510989,1.689429945,1.739601648,1.795728022,1.855934066
1.298,1.408942308,1.518221154,1.586390797,1.644450549,1.704656593,1.759052198,1.815068681,1.875274725
1.296,1.422403846,1.537850275,1.613585165,1.673791209,1.733997253,1.788502747,1.844409341,1.904615385
1.292,1.403705357,1.518674451,1.595947802,1.653557692,1.71135989,1.766304945,1.821771978,1.881978022
1.29,1.407221841,1.525137363,1.605288462,1.662953297,1.720700549,1.775755495,1.831112637,1.891318681
1.288,1.403042582,1.524134615,1.599629121,1.659835165,1.715034341,1.770247253,1.830453297,1.890659341
1.286,1.401394231,1.523145604,1.59896978,1.659175824,1.71448489,1.769587912,1.829793956,1.895
1.284,1.419395604,1.554182692,1.640669643,1.70114011,1.75393544,1.808928571,1.869134615,1.934230769
1.28,1.421960852,1.560075549,1.655721154,1.719326923,1.772287088,1.826950549,1.887156593,1.951923077
1.268,1.390257555,1.524567308,1.6128125,1.675879121,1.731737637,1.786291209,1.846497253,1.911153846
1.264,1.386504121,1.516346154,1.600013736,1.658118132,1.711188187,1.765631868,1.825837912,1.890384615
1.26,1.401850962,1.537259615,1.628413462,1.69456044,1.754766484,1.814972527,1.875178571,1.939615385
1.254,1.379326923,1.500233516,1.580669643,1.643901099,1.700089286,1.750260989,1.800432692,1.858846154
1.242,1.352936126,1.472266484,1.553526786,1.615096154,1.668440934,1.718612637,1.768784341,1.822747253
1.237,1.344732143,1.46301511,1.5478125,1.611263736,1.667891484,1.718063187,1.771881868,1.832087912
1.228,1.338303571,1.458653846,1.547098214,1.610604396,1.667342033,1.717513736,1.771222527,1.831428571
1.22,1.321875,1.440927198,1.526383929,1.589945055,1.650151099,1.706964286,1.760563187,1.820769231
1.214,1.320446429,1.43831044,1.520669643,1.585892857,1.649491758,1.709697802,1.769903846,1.83010989
1.208,1.317551511,1.440343407,1.522101648,1.58375,1.647513736,1.70771978,1.767925824,1.828131868
1.206,1.332403846,1.46206044,1.555552885,1.626648352,1.686854396,1.74706044,1.807266484,1.867472527
1.196,1.323303571,1.445961538,1.538413462,1.608653846,1.676195055,1.733667582,1.786607143,1.846813187
1.188,1.281971154,1.38489011,1.461383929,1.52532967,1.585535714,1.643118132,1.695947802,1.758846154
1.18,1.294275412,1.411387363,1.495669643,1.560892857,1.624876374,1.682568681,1.735288462,1.798076923
1.156,1.305154533,1.42342033,1.508526786,1.574807692,1.642898352,1.70092033,1.75331044,1.815769231
1.13,1.258537088,1.397431319,1.4828125,1.54603022,1.600199176,1.650370879,1.704759615,1.775
1.114,1.247785027,1.393269231,1.488028846,1.555425824,1.609649725,1.659821429,1.711991758,1.774230769
1.096,1.241923077,1.391311813,1.482259615,1.550714286,1.609100275,1.659271978,1.709443681,1.761538462
1.07,1.218025412,1.355858516,1.439182692,1.508076923,1.566902473,1.617074176,1.667245879,1.718901099
1.05,1.195298764,1.324924451,1.4078125,1.471799451,1.526353022,1.576524725,1.626696429,1.678241758
1.016,1.158815247,1.290048077,1.381552198,1.440068681,1.484642857,1.525975275,1.576146978,1.626318681
0.976,1.086875,1.213056319,1.295892857,1.355082418,1.404203297,1.445425824,1.495597527,1.545769231
0.964,1.058839286,1.167122253,1.250233516,1.30907967,1.353763736,1.394876374,1.445048077,1.49521978
0.955,1.059739011,1.159574176,1.248255495,1.307596154,1.352445055,1.393228022,1.443399725,1.493571429
